instance_sn,creation_time
instance_10426,909824.0
instance_10425,909824.0
instance_10454,914152.0
instance_10455,914160.0
instance_10456,914161.0
instance_10457,914171.0
instance_10462,914622.0
instance_10463,914623.0
instance_10465,914876.0
instance_10466,914886.0
instance_10467,914892.0
instance_10468,914900.0
instance_10469,914903.0
instance_10470,914908.0
instance_10471,914910.0
instance_10472,914912.0
instance_10473,916674.0
instance_10517,919004.0
instance_10516,919004.0
instance_10537,919004.0
instance_10538,919004.0
instance_10536,919004.0
instance_10535,919004.0
instance_10534,919004.0
instance_10524,919004.0
instance_10522,919004.0
instance_10523,919004.0
instance_10519,919004.0
instance_10520,919004.0
instance_10539,919004.0
instance_10540,919004.0
instance_10525,919004.0
instance_10532,919004.0
instance_10531,919004.0
instance_10530,919004.0
instance_10529,919004.0
instance_10528,919004.0
instance_10527,919004.0
instance_10526,919004.0
instance_10533,919004.0
instance_10543,919004.0
instance_10544,919004.0
instance_10541,919004.0
instance_10542,919004.0
instance_10521,919004.0
instance_10518,919004.0
instance_10551,919544.0
instance_10550,919544.0
instance_10549,919544.0
instance_10552,919546.0
instance_10554,919546.0
instance_10555,919546.0
instance_10553,919546.0
instance_10561,919734.0
instance_10562,919743.0
instance_10563,919748.0
instance_10564,919750.0
instance_10565,919849.0
instance_10570,920662.0
instance_10571,920664.0
instance_10577,920871.0
instance_10575,920871.0
instance_10580,920872.0
instance_10581,920872.0
instance_10582,920872.0
instance_10579,920872.0
instance_10583,920872.0
instance_10589,920873.0
instance_10588,920873.0
instance_10599,920873.0
instance_10600,920873.0
instance_10584,920873.0
instance_10586,920873.0
instance_10587,920873.0
instance_10590,920874.0
instance_10598,920874.0
instance_10596,920874.0
instance_10601,920874.0
instance_10606,920874.0
instance_10594,920874.0
instance_10597,920874.0
instance_10593,920874.0
instance_10592,920874.0
instance_10604,920875.0
instance_10591,920875.0
instance_10603,920875.0
instance_10607,920875.0
instance_10602,920875.0
instance_10605,920875.0
instance_10595,920875.0
instance_10613,920915.0
instance_10610,920915.0
instance_10611,920915.0
instance_10609,920915.0
instance_10608,920915.0
instance_10612,920916.0
instance_10614,920918.0
instance_10615,920920.0
instance_10624,921463.0
instance_10625,921487.0
instance_10629,921646.0
instance_10642,922598.0
instance_10643,922620.0
instance_10649,922854.0
instance_10648,922854.0
instance_10647,922856.0
instance_10650,922927.0
instance_10651,922937.0
instance_10653,923036.0
instance_10655,923110.0
instance_10654,923110.0
instance_10664,924331.0
instance_10675,925653.0
instance_10674,925653.0
instance_10721,931159.0
instance_10725,931223.0
instance_10728,931224.0
instance_10724,931224.0
instance_10729,931224.0
instance_10731,931225.0
instance_10733,931225.0
